title,content,user_id,event_date,status,city_state,venue,map_url,tickets_url,featured_image_url
The Revel - DBX,"Back for something a bit special, Wednesday night dinner night at the Revel. Earlier gig, enjoy some great food and the music of Boston!

DBX - our tribute to the music of Boston.

Songs you'll know by heart, get out and sing along!

Ticket link by EventBrite, $10-20 to reserve table, they go fast!",1,2022-12-14 19:00:16,publish,"Frisco, TX",The Revel,"https://www.google.com/maps/place/The+Revel+Patio+Grill/@33.1552065,-96.806599,17z/data=!3m2!4b1!5s0x864c3c25a2d33eb5:0x35e2b6672b26665f!4m5!3m4!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!8m2!3d33.1552065!4d-96.8044103",,2022/12/DBX-Eventbrite-Revel.webp
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2022-12-09 18:00:15,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
Amplified Live - Green Dazed,"We're back at Amplified Life for a wild night of high energy music from the 90s

Sharing the stage with Ramones Tribute - Mondos Bizarros and Toadies Tribute - Backsliders

All ages show, doors at 7pm, show at 8pm

Indoor show is scheduled for now.",1,2022-12-02 20:00:03,publish,"Dallas, TX",Amplified Live,"https://www.google.com/maps/place/Amplified/@32.860833,-96.8982473,17z/data=!3m1!4b1!4m5!3m4!1s0x864e9d168290066f:0x81c2c26772056b41!8m2!3d32.8608285!4d-96.8960533",,2022/03/Promo-Shot-1.jpg
Lava Cantina - Double Vision,"We will have the honor of playing the night with Desperado - a tribute to the music of the Eagles

Double Vision starts the night, typically around 8pm, check their website lavacantina.com, tables can be reserved at their site, get in on one early as they will sell out.

I've played here before with Green Dazed and it's one HELL of a great venue, a great excuse for a Saturday night out!",1,2022-11-12 21:00:25,publish,"The Colony, TX",Lava Cantina,"https://www.google.com/maps/place/Lava+Cantina+The+Colony/@33.0779445,-96.862112,17z/data=!3m1!4b1!4m5!3m4!1s0x864c3b36ab92a81d:0x91407cd0e1926766!8m2!3d33.07794!4d-96.859918",https://www.eventbrite.com/e/desperado-the-eagles-tribute-with-double-vision-a-foreigner-experience-tickets-424738443117?aff=ebdsoporgprofile,2022/05/Logo.jpg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2022-11-11 18:00:41,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
The Revel - Double Vision,Bringing the biggest hits of Foreigner to the stage at the Revel in Frisco!,1,2022-11-05 20:00:24,publish,"Frisco, TX",The Revel,"https://www.google.com/maps/place/The+Revel+Patio+Grill/@33.1552065,-96.806599,17z/data=!3m2!4b1!5s0x864c3c25a2d33eb5:0x35e2b6672b26665f!4m5!3m4!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!8m2!3d33.1552065!4d-96.8044103",,2022/05/Logo.jpg
Grand Prairie Farmers Market - Acoustic,"Got a chance to do an earlier gig if you're in Grand Prairie area - come down enjoy music, food, arts, festivities!

I play 10-12",1,2022-10-29 10:00:20,publish,"Grand Prairie, TX",Grand Prairie Farmers Market,"https://www.google.com/maps/place/120+W+Main+St,+Grand+Prairie,+TX+75050/@32.7458494,-97.0067416,17z/data=!3m1!4b1!4m5!3m4!1s0x864e85d5043ff9eb:0xcc766aab23fc7cc!8m2!3d32.7458449!4d-97.0045529",,2016/08/H2O-Days.jpg
Fat Daddy's (Mansfield) - Double Vision,"Doors open at 8, show at 9
Ticket prices $10 after 8pm
Bringing the biggest hits from Foreigner to the stage!",1,2022-10-22 21:00:39,publish,"Mansfield, TX",Fat Daddy's,"https://www.google.com/maps/place/Fat+Daddy's+Sports+%26+Spirits/@32.5911251,-97.1570156,17z/data=!3m1!4b1!4m5!3m4!1s0x864e6168565c66f3:0xb184bd1bbed85c01!8m2!3d32.5911251!4d-97.1548269",,2022/05/Logo.jpg
Fat Daddy's (Mansfield) - DBX,"Get ready for a wild night of awesome classic rock, this is our tribute to the music of Boston.

We're teaming up with our good friends in Double Vision, a tribute tot he music of Foreigner.

Come out and hear songs you know and sing along! Looking forward to bringing a great time to all.

Doors typically open at 8pm, show at 9pm",1,2022-10-22 20:00:49,publish,"Mansfield, TX",Fat Daddy's,"https://www.google.com/maps/place/Fat+Daddy's+Sports+%26+Spirits/@32.5911251,-97.1570156,17z/data=!3m1!4b1!4m5!3m4!1s0x864e6168565c66f3:0xb184bd1bbed85c01!8m2!3d32.5911251!4d-97.1548269",,2022/06/DBX-YouTube-Banner.jpg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2022-10-14 18:00:07,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
Pelican Festival - Double Vision,"Road trip! Bringing the excellent music of Foreigner to the Pelican Festival in Grove, OK.

If you're in the area, please swing by and check it out!",1,2022-10-08 19:00:22,publish,"Grove, OK",Pelican Festival,"https://www.google.com/maps/place/963+16th+St,+Grove,+OK+74344/@36.6046769,-94.7856823,17z/data=!3m1!4b1!4m5!3m4!1s0x87c8369c1366cccb:0xfa037d6873255dbc!8m2!3d36.6046726!4d-94.7834936",,2022/05/Logo.jpg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2022-09-30 18:00:25,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
Rack and Tap - Sunset Strip,"Sunset Strip will be back bringing the roaring 80's to Lewisville and spreading some 80's themed love.
Loving every minute of this!
The best rock of the 80's, a little heavier, right up my alley.
Come rock out hard with us!!",1,2022-09-10 20:00:31,publish,"Lewisville, TX",Rack n Tap,"https://www.google.com/maps/place/Rack+%26+Tap+Sports+Bar+%26+Grill/@33.0194778,-96.9934768,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2e62187bb12d:0x8351ce63c1536c19!8m2!3d33.0194754!4d-96.991324",,2020/06/Sunset-Strip.jpg
Grand Prairie Farmers Market - Acoustic,"Got a chance to do an earlier gig if you're in Grand Prairie area - come down enjoy music, food, arts, festivities!

I play 10-12",1,2022-09-10 10:00:29,publish,"Grand Prairie, TX",Grand Prairie Farmers Market,"https://www.google.com/maps/place/120+W+Main+St,+Grand+Prairie,+TX+75050/@32.7458494,-97.0067416,17z/data=!3m1!4b1!4m5!3m4!1s0x864e85d5043ff9eb:0xcc766aab23fc7cc!8m2!3d32.7458449!4d-97.0045529",,2016/08/H2O-Days.jpg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2022-09-09 18:00:30,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
40 West - Double Vision,"Taking the biggest hits of Foreigner to OKC for a wild night, get hot with us!",1,2022-09-03 21:00:15,publish,"Yukon (Oklahoma City), OK",40 West ,"https://www.google.com/maps/place/40+WEST:+Premier+Entertainment+Company+(Studio%2FVenue%2FBar%2FGrill)/@35.4356919,-97.7206655,12.27z/data=!3m1!5s0x87b208ecabb4160b:0x9357b10a1e081800!4m5!3m4!1s0x87b20918cf75b58b:0xda946bd21821cb01!8m2!3d35.4714564!4d-97.7255096",,2022/05/Logo.jpg
Z Grill and Tap - Sunset Strip,"All right you Sunset Strippers... we're bringing the roaring 80s to Flower Mound, Z Grill and Tap, come rock hard with us!!!",1,2022-08-27 21:00:35,publish,"Flower Mound, TX",Z Grill and Tap,"https://www.google.com/maps/place/Z+Grill+%26+Tap/@33.034517,-97.0672121,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2da8fe4ba2fb:0xce15b4ab3d1bec18!8m2!3d33.0345125!4d-97.0650234?authuser=1",,#N/A
The Revel - Double Vision,Bringing the biggest hits of Foreigner to the stage at the Revel in Frisco!,1,2022-08-20 21:00:51,publish,"Frisco, TX",The Revel,"https://www.google.com/maps/place/The+Revel+Patio+Grill/@33.1552065,-96.806599,17z/data=!3m2!4b1!5s0x864c3c25a2d33eb5:0x35e2b6672b26665f!4m5!3m4!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!8m2!3d33.1552065!4d-96.8044103",,2022/05/Logo.jpg
The Revel - DBX,"Get ready for a killer debut of classic rock at the Revel

DBX - our tribute to the music of Boston followed by Double Vision,  tribute to the music of Foreigner

2 great bands, songs you'll know by heart, get out and sing along!

Doors typically open at 8pm, show at 9pm",1,2022-08-20 20:00:12,publish,"Frisco, TX",The Revel,"https://www.google.com/maps/place/The+Revel+Patio+Grill/@33.1552065,-96.806599,17z/data=!3m2!4b1!5s0x864c3c25a2d33eb5:0x35e2b6672b26665f!4m5!3m4!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!8m2!3d33.1552065!4d-96.8044103",,2022/06/DBX-YouTube-Banner.jpg
T's - Green Dazed,"We're back at T's for a night of high energy rock with our good friends Cherry Bomb, a tribute to the women in rock.

This promises to be a fun night with music that will be stuck in your head the following week - get out and join us!",1,2022-08-19 20:00:11,publish,"Lewisville, TX",T's Bar and Grill,"https://www.google.com/maps/place/T's+Bar+and+Grill/@33.024959,-96.9967136,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2e65ac6c89ef:0x2fb7cf3748080dd7!8m2!3d33.0249545!4d-96.9945249",,2022/03/Promo-Shot-1.jpg
Rack and Tap - Sunset Strip,"Sunset Strip will be back bringing the roaring 80's to Lewisville and spreading some 80's themed love.
Loving every minute of this!
The best rock of the 80's, a little heavier, right up my alley.
Come rock out hard with us!!",1,2022-08-13 20:00:14,publish,"Lewisville, TX",Rack n Tap,"https://www.google.com/maps/place/Rack+%26+Tap+Sports+Bar+%26+Grill/@33.0194778,-96.9934768,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2e62187bb12d:0x8351ce63c1536c19!8m2!3d33.0194754!4d-96.991324",,2020/06/Sunset-Strip.jpg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2022-08-12 18:00:56,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
Fat Daddy's (Mansfield) - Double Vision,"Doors open at 8, show at 9
Ticket prices $10 after 8pm
Bringing the biggest hits from Foreigner to the stage!

Catch our friends in High N Fidelity - Tribute to REO Speedwagon that night as well!",1,2022-08-06 21:00:53,publish,"Mansfield, TX",Fat Daddy's,"https://www.google.com/maps/place/Fat+Daddy's+Sports+%26+Spirits/@32.5911251,-97.1570156,17z/data=!3m1!4b1!4m5!3m4!1s0x864e6168565c66f3:0xb184bd1bbed85c01!8m2!3d32.5911251!4d-97.1548269",,2022/05/Logo.jpg
The Maverick - Sunset Strip,"Sunset Strip will be back bringing the roaring 80's to Carrollton and spreading some 80's themed love.
Loving every minute of this!
The best rock of the 80's, a little heavier, right up my alley.
Come rock out hard with us!!",1,2022-07-30 20:00:02,publish,"Carrollton, TX",The Maverick,"https://www.google.com/maps/place/The+Maverick/@33.0238889,-96.9383051,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2f9dcc64c7af:0x907901698834ce00!8m2!3d33.0238889!4d-96.9361111",,2020/06/Sunset-Strip.jpg
T's Bar and Grill - Sunset Strip,"It's SUMMER, we're back at T's for some roaring 80's!!

Get ready to rock with us!!",1,2022-07-23 20:30:15,publish,"Lewisville, TX",T's Bar and Grill,"https://www.google.com/maps/place/T's+Bar+and+Grill/@33.024959,-96.9967189,17z/data=!3m2!4b1!5s0x864c2e79821ac695:0x263ac1f635c500f7!4m5!3m4!1s0x864c2e65ac6c89ef:0x2fb7cf3748080dd7!8m2!3d33.0249545!4d-96.9945249",,2021/01/Sunset-Strip-Yellow.jpg
The Revel Patio Grill - Sunset Strip,We're bringing the roaring 80's to Frisco Friday the 22nd - get ready to rock hard with us!,1,2022-07-22 20:00:36,publish,"Frisco, TX",The Revel,"https://www.google.com/maps/place/The+Revel/@33.1552065,-96.8066043,17z/data=!4m12!1m6!3m5!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!2sThe+Revel!8m2!3d33.1552065!4d-96.8044103!3m4!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!8m2!3d33.1552065!4d-96.8044103",,2021/09/Promo-Shot-1.jpg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2022-07-08 18:00:24,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
